customer_id,full_name,gender,age_band,city,loyalty_tier,registered_on
566,Ifeoma Kalu,F,35-44,Ibadan,Bronze,2023-05-16
567,Bashir Chukwu,M,45-54,Lagos,Platinum,2022-04-17
568,Ada Eze,F,18-24,Ibadan,Silver,2025-01-21
569,Musa Chukwu,F,45-54,Lagos,Bronze,2024-01-26
570,Daniel Abubakar,F,55+,Lagos,Silver,2024-05-13
571,Tobi Bello,M,18-24,Lagos,Silver,2022-09-11
572,Zainab Okafor,F,18-24,Abuja,Silver,2023-09-05
573,Zainab Ibrahim,M,35-44,Lagos,Bronze,2024-06-21
574,Zainab Nnamdi,F,55+,Abuja,Silver,2024-01-01
575,Ruth Ojo,M,18-24,Abuja,Bronze,2024-07-20
576,Aisha Balogun,F,35-44,Abuja,Platinum,2022-10-21
577,Hauwa Sanni,F,25-34,Lagos,Gold,2022-05-01
578,Daniel Nnamdi,M,35-44,Abuja,Platinum,2022-02-02
579,Victor Bello,M,55+,Lagos,Silver,2023-01-28
580,Tobi Kalu,M,18-24,Abuja,Gold,2023-07-15
581,Grace Okafor,F,25-34,Abuja,Platinum,2024-04-30
582,Wale Dauda,M,25-34,Lagos,Gold,2022-09-05
583,Emeka Hassan,M,35-44,Lagos,Silver,2024-10-23
584,Bashir Okafor,F,35-44,Abuja,Bronze,2025-04-23
585,Daniel Jibrin,M,35-44,Lagos,Silver,2023-07-21
586,Ifeoma Hassan,M,18-24,Abuja,Bronze,2024-06-20
587,Aisha Hassan,M,55+,Lagos,Bronze,2025-05-13
588,Kabir Chukwuemeka,F,55+,Abuja,Platinum,2025-03-10
589,Victor Garba,M,25-34,Abuja,Silver,2023-05-19
590,Ikenna Dauda,M,35-44,Ibadan,Bronze,2023-01-17
591,Patience Nwosu,M,18-24,Ibadan,Platinum,2025-04-12
592,Ngozi Garba,F,18-24,Abuja,Bronze,2023-01-04
593,Ngozi Jibrin,M,55+,Ibadan,Gold,2023-10-20
594,Nneka Okafor,F,18-24,Ibadan,Gold,2024-11-01
595,Chinedu Okafor,M,55+,Lagos,Bronze,2025-05-30
596,Chidinma Umeh,F,25-34,Ibadan,Platinum,2025-01-26
597,Chidinma Chukwuemeka,F,25-34,Abuja,Platinum,2025-01-19
598,Musa Hassan,M,55+,Ibadan,Platinum,2023-06-20
599,Josephine Umeh,M,25-34,Ibadan,Bronze,2025-03-18
600,Kabir Popoola,F,25-34,Abuja,Silver,2025-05-30
601,Wale Eze,M,55+,Abuja,Platinum,2024-10-28
602,Obinna Dauda,F,35-44,Lagos,Bronze,2022-08-23
603,Ada Chukwuemeka,M,55+,Ibadan,Silver,2025-06-30
604,Uche Jibrin,M,18-24,Abuja,Platinum,2022-03-28
605,Zainab Bello,F,55+,Ibadan,Gold,2025-04-20
606,Ada Akinola,F,18-24,Ibadan,Silver,2024-02-15
607,Zainab Dauda,F,25-34,Lagos,Platinum,2025-05-05
608,Chidinma Ojo,F,18-24,Abuja,Platinum,2024-08-14
609,Grace Ojo,F,25-34,Ibadan,Bronze,2022-09-20
610,Yemi Lawal,F,55+,Lagos,Silver,2024-07-21
611,Ikenna Eleyinmi,M,18-24,Lagos,Platinum,2024-12-12
612,Wale Obi,M,18-24,Abuja,Gold,2024-08-24
613,Nneka Akinola,F,18-24,Lagos,Silver,2023-08-29
614,Lola Eze,F,18-24,Ibadan,Silver,2024-05-06
615,Bola Danjuma,F,18-24,Lagos,Gold,2023-09-25
616,Patience Akinola,F,55+,Lagos,Bronze,2022-11-25
617,Yemi Yusuf,F,55+,Ibadan,Bronze,2023-12-04
618,Ifeoma Folarin,M,45-54,Abuja,Silver,2024-02-20
619,Nneka Balogun,F,18-24,Lagos,Platinum,2023-12-13
620,Ruth Eze,M,25-34,Ibadan,Silver,2024-09-10
621,Chinedu Obi,M,45-54,Lagos,Platinum,2023-09-24
622,Nneka Lawal,F,45-54,Abuja,Silver,2024-09-24
623,Lola Kalu,M,55+,Abuja,Platinum,2022-05-30
624,Ifeoma Nnamdi,M,35-44,Abuja,Gold,2025-06-25
625,Emeka Ojo,M,55+,Lagos,Gold,2024-11-14
626,Chioma Garba,F,55+,Ibadan,Silver,2023-07-05
627,Sade Eze,M,35-44,Lagos,Silver,2024-01-07
628,Zainab Balogun,M,25-34,Ibadan,Bronze,2022-02-11
629,Daniel Umeh,F,45-54,Abuja,Bronze,2024-02-21
630,Bola Popoola,F,35-44,Ibadan,Bronze,2023-09-11
631,Musa Nnamdi,F,55+,Lagos,Platinum,2022-03-25
632,Chioma Ibrahim,M,25-34,Ibadan,Silver,2022-03-07
633,Uche Sanni,M,35-44,Abuja,Platinum,2024-09-07
634,Femi Lawal,M,55+,Ibadan,Gold,2023-10-05
635,Sade Folarin,F,45-54,Lagos,Silver,2023-07-29
636,Ifeoma Abubakar,F,45-54,Lagos,Platinum,2024-11-24
637,Ngozi Adewale,F,25-34,Lagos,Gold,2024-01-29
638,Halima Obi,F,55+,Lagos,Silver,2022-03-25
639,Chinedu Sanni,M,45-54,Ibadan,Bronze,2023-09-03
640,Femi Popoola,M,25-34,Ibadan,Gold,2022-09-08
641,Musa Ibrahim,F,25-34,Ibadan,Gold,2022-07-04
642,Wale Garba,F,18-24,Abuja,Platinum,2022-05-04
643,Obinna Ojo,F,45-54,Abuja,Gold,2024-10-15
644,Grace Obi,F,25-34,Lagos,Platinum,2023-02-18
645,Josephine Yusuf,F,25-34,Abuja,Silver,2024-12-01
646,Sade Bello,M,35-44,Abuja,Silver,2024-09-06
647,Chinedu Adewale,F,55+,Abuja,Bronze,2024-03-12
648,Ngozi Dauda,M,35-44,Lagos,Platinum,2023-07-12
649,Tobi Chukwu,M,45-54,Abuja,Gold,2024-08-18
650,Musa Akinola,F,35-44,Lagos,Bronze,2022-03-14
651,Bola Adewale,F,35-44,Abuja,Gold,2023-06-21
652,Emeka Mohammed,M,45-54,Abuja,Gold,2024-01-13
653,Sade Adewale,M,55+,Ibadan,Silver,2022-06-04
654,Uche Chukwu,M,55+,Ibadan,Platinum,2025-06-09
655,Amaka Eleyinmi,F,18-24,Abuja,Bronze,2024-08-08
656,Hauwa Obi,F,45-54,Abuja,Bronze,2022-10-06
657,Chioma Okafor,F,35-44,Abuja,Gold,2024-08-26
658,Aisha Abubakar,M,25-34,Ibadan,Silver,2023-07-07
659,Ada Abubakar,M,35-44,Ibadan,Silver,2023-04-26
660,Ikenna Danjuma,M,55+,Abuja,Bronze,2023-05-06
661,Kemi Nwosu,F,55+,Lagos,Gold,2023-06-25
662,Amaka Chukwu,F,18-24,Lagos,Gold,2023-03-02
663,Chinedu Jibrin,F,25-34,Lagos,Silver,2022-11-23
664,Bola Nwosu,F,55+,Ibadan,Platinum,2025-02-28
665,Victor Idowu,F,35-44,Abuja,Gold,2024-01-22
666,Ada Bello,F,25-34,Ibadan,Silver,2024-01-12
667,Bashir Popoola,F,25-34,Ibadan,Silver,2022-05-10
668,Ifeoma Balogun,M,18-24,Ibadan,Gold,2022-08-19
669,Ada Balogun,F,55+,Ibadan,Platinum,2022-03-24
670,Sade Umeh,M,55+,Abuja,Platinum,2022-04-20
671,Zainab Sanni,F,35-44,Abuja,Platinum,2023-06-03
672,Chidinma Chukwu,F,35-44,Ibadan,Gold,2023-01-11
673,Bola Eze,F,25-34,Ibadan,Silver,2025-03-08
674,Patience Dauda,F,25-34,Ibadan,Gold,2022-11-26
675,Ruth Idowu,M,25-34,Abuja,Gold,2023-04-19
676,Grace Lawal,M,18-24,Abuja,Silver,2023-07-03
677,Bashir Adewale,F,45-54,Abuja,Platinum,2024-03-02
678,Ruth Lawal,M,18-24,Lagos,Bronze,2022-03-28
679,Femi Akinola,M,35-44,Abuja,Bronze,2024-04-08
680,Ifeoma Dauda,F,18-24,Ibadan,Platinum,2022-12-17
681,Halima Nwosu,F,18-24,Abuja,Platinum,2023-08-05
682,Daniel Dauda,M,45-54,Ibadan,Platinum,2022-10-18
683,Ifeoma Nwosu,F,25-34,Ibadan,Gold,2022-10-28
684,Josephine Nnamdi,F,25-34,Lagos,Gold,2024-09-26
685,Zainab Hassan,F,18-24,Lagos,Gold,2022-02-09
686,Wale Okafor,F,55+,Ibadan,Silver,2023-07-15
687,Esther Adewale,F,35-44,Abuja,Silver,2022-06-15
688,Zainab Egwu,F,25-34,Abuja,Gold,2025-02-18
689,Wale Danjuma,M,25-34,Lagos,Bronze,2023-09-26
690,Femi Ibrahim,M,18-24,Lagos,Gold,2024-09-17
691,Amaka Popoola,M,25-34,Abuja,Platinum,2022-03-07
692,Emeka Eze,F,35-44,Ibadan,Platinum,2025-02-15
693,Musa Mohammed,M,25-34,Ibadan,Gold,2023-07-22
694,Ruth Chukwu,M,35-44,Lagos,Platinum,2025-03-15
695,Tobi Chukwuemeka,M,25-34,Lagos,Silver,2025-01-08
696,Grace Eze,M,18-24,Abuja,Gold,2022-02-19
697,Tunde Garba,F,18-24,Ibadan,Platinum,2022-01-22
698,Sade Lawal,M,18-24,Abuja,Bronze,2024-12-15
699,Kemi Balogun,F,25-34,Ibadan,Platinum,2024-03-28
700,Bashir Lawal,F,55+,Ibadan,Bronze,2024-09-14
